Imants Ziedonis,42

Total frames:,132
Consolidated frames:,30

> Consolidated frames: <

Status,Type,Count,SourceId
,0,2,,"(4, 46)","(2, 44)","(3, 45)","(1, 42)"
,10,1,Pipeline parse at 2013-10-12T05:37:27.424703,"(3, 76033)","(7, 76032)","(4, 42)"
,10,1,Pipeline parse at 2013-10-12T05:55:20.191525,"(3, 76033)","(7, 76032)","(4, 42)"
,10,1,Pipeline parse at 2013-10-12T05:36:23.389528,"(3, 76033)","(7, 76032)","(4, 42)"
,10,1,Pipeline parse at 2013-10-12T05:41:25.759005,"(3, 76033)","(7, 76032)","(4, 42)"
,10,1,Pipeline parse at 2013-10-12T05:42:55.850515,"(3, 76033)","(7, 76032)","(4, 42)"
,10,1,Pipeline parse at 2013-10-12T05:48:49.167856,"(7, 79062)","(4, 42)"
,10,1,Pipeline parse at 2013-10-12T05:43:25.735350,"(3, 76033)","(7, 76032)","(4, 42)"
,13,1,Manual sample data - LETA,"(2, 64)","(3, 65)","(1, 42)","(6, 55)"
,13,1,Manual sample data - kasjauns.lv,"(2, 64)","(3, 65)","(1, 42)","(6, 55)"
,22,1,Pipeline parse at 2013-10-12T05:42:55.850416,"(6, 75168)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:41:07.644367,"(6, 77269)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:55:20.191839,"(6, 75168)","(3, 42)","(2, 77981)"
,22,1,Pipeline parse at 2013-10-12T05:36:23.389434,"(6, 75168)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:53:43.012743,"(6, 75168)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T06:01:23.782152,"(6, 75168)","(3, 42)","(2, 103510)"
,22,1,Pipeline parse at 2013-10-12T05:57:57.996588,"(6, 75168)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:51:38.074082,"(6, 75168)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:38:52.442103,"(6, 75392)","(5, 75392)","(3, 42)"
,22,1,Pipeline parse at 2013-10-12T05:57:57.996116,"(6, 75168)","(3, 42)","(2, 75173)"
